job_id,model,condition,job_status,fps,max_frames,total_tokens,max_new_tokens,prompt,trial,query_id,query,spans,variant,repeat,status,parse_status,span_count,invalid_span_count,wall_s,preprocess_s,generate_s,decode_parse_s,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hit_output_limit,incomplete_output,error
timelens-8b__quick,timelens-8b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[40.0, 46.0], [51.0, 54.0], [82.0, 84.0], [95.0, 98.0], [123.0, 128.0], [134.0, 136.0], [157.0, 160.0], [166.0, 172.0], [185.0, 193.0], [199.0, 206.0], [208.0, 214.0]]",0,0,ok,json,11,0,38.96685221372172,26.053423881996423,12.912979843094945,0.0004297778941690922,21.24412441253662,22.375,17094,160,False,False,
timelens-8b__quick,timelens-8b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,31.14920530701056,25.778367957100272,5.3705589370802045,0.00025777798146009445,21.24366569519043,22.375,17092,2,False,False,
timelens-7b__quick,timelens-7b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[6.0, 10.1], [24.2, 28.2], [36.2, 38.3], [72.5, 78.5], [100.7, 104.7], [110.7, 116.8], [122.9, 128.9], [138.9, 143.0], [151.0, 155.1], [177.2, 181.2], [187.3, 189.3], [197.4, 201.4], [205.4, 209.4]]",0,0,ok,json,13,0,42.821465408895165,30.23139279289171,12.589079616125673,0.0009690187871456146,19.04879665374756,21.98828125,17114,174,False,False,
timelens-7b__quick,timelens-7b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[134.9, 136.9]]",0,0,ok,json,1,0,32.97852950217202,26.171405741013587,6.806699655018747,0.00041488418355584145,19.048234939575195,21.98828125,17111,15,False,False,
timelens-7b__quick,timelens-7b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[16.1, 18.1], [38.3, 40.3], [40.3, 42.3], [42.3, 44.3], [44.3, 46.3], [48.3, 50.4], [50.4, 52.4], [52.4, 54.4], [56.4, 58.4], [60.4, 62.4], [66.5, 68.5], [70.5, 72.5], [76.5, 78.5], [80.5, 82.5], [86.6, 88.6], [92.6, 94.7], [98.7, 100.7], [108.7, 110.7], [110.7, 112.8], [112.8, 114.8], [114.8, 116.8], [116.8, 120.8], [161.1, 163.1], [169.2, 171.2], [175.2, 177.2], [185.3, 187.3], [191.3, 193.3], [195.3, 197.4], [199.4, 201.4], [203.4, 205.4], [207.4, 209.4]]",0,0,ok,json,31,0,43.73222467675805,25.14610552880913,18.585397112183273,0.0007062847726047039,19.050325393676758,21.98828125,17117,402,False,False,
timelens-7b__quick,timelens-7b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,32.362998289987445,25.809259988367558,6.553540191613138,0.0001875273883342743,19.04898452758789,21.98828125,17115,2,False,False,
time-r1-7b__quick,time-r1-7b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[0.0, 12.5], [13.6, 24.8], [25.9, 37.1], [55.5, 130.5], [131.6, 140.8], [141.9, 153.1], [154.2, 164.4], [165.5, 180.7], [181.8, 192.0], [193.1, 204.3], [205.4, 215.6]]",0,0,ok,json_objects,11,0,40.20383605081588,25.938511750660837,14.264247629325837,0.0010618707165122032,18.851808547973633,21.94140625,16049,252,False,False,
time-r1-7b__quick,time-r1-7b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[132.0, 140.0]]",0,0,ok,json_objects,1,0,32.80292296083644,25.64599511399865,7.156639664899558,0.0002756258472800255,18.851449489593506,21.94140625,16046,30,False,False,
time-r1-7b__quick,time-r1-7b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[40.0, 45.0], [53.0, 58.0]]",0,0,ok,json_objects,2,0,33.42642788821831,25.88509734813124,7.540918393060565,0.0003864807076752186,18.851868629455566,22.509765625,16052,49,False,False,
time-r1-7b__quick,time-r1-7b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,31.74784010834992,25.551877515390515,6.195721779949963,0.00023012375459074974,18.851726531982422,22.509765625,16050,2,False,False,
time-r1-3b__quick,time-r1-3b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,[],0,0,ok,json_empty,0,0,35.26108939293772,29.92662646388635,5.333761906716973,0.0006856000982224941,10.142508029937744,12.3359375,16049,2,False,False,
time-r1-3b__quick,time-r1-3b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,[],0,0,ok,json_empty,0,0,29.42379434313625,24.521733414381742,4.901775368954986,0.0002655899152159691,10.142507553100586,12.3359375,16046,2,False,False,
time-r1-3b__quick,time-r1-3b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[0.0, 19.2]]",0,0,ok,json,1,0,29.700390113983303,24.6657685469836,5.0343518308363855,0.00025000423192977905,10.141944408416748,12.3359375,16052,12,False,False,
time-r1-3b__quick,time-r1-3b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,28.75001445133239,23.92423305939883,4.825543227605522,0.00022447621449828148,10.141936779022217,12.3359375,16050,2,False,False,
qwen3-vl-8b__quick,qwen3-vl-8b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[0.0, 2.5], [2.5, 4.5], [4.5, 6.5], [6.5, 8.5], [8.5, 10.5], [10.5, 12.5], [12.5, 14.5], [14.5, 16.5], [16.5, 18.5], [18.5, 20.5], [20.5, 22.5], [22.5, 24.5], [24.5, 26.5], [26.5, 28.5], [28.5, 30.5], [30.5, 32.5], [32.5, 34.5], [34.5, 36.5], [36.5, 38.5], [38.5, 40.5], [57.5, 61.5], [61.5, 63.5], [63.5, 65.5], [65.5, 67.5], [67.5, 69.5], [69.5, 71.5], [71.5, 73.5], [73.5, 75.5], [75.5, 77.5], [77.5, 79.5], [79.5, 81.5], [81.5, 83.5], [83.5, 85.5], [85.5, 87.5], [87.5, 89.5], [89.5, 91.5], [91.5, 93.5], [93.5, 95.5], [95.5, 97.5], [97.5, 99.5]]",0,0,ok,partial_json,40,0,60.253929521888494,29.883700988721102,30.36910230712965,0.001101624220609665,21.25404977798462,22.390625,17091,512,True,True,
qwen3-vl-8b__quick,qwen3-vl-8b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[135.0, 137.0], [158.0, 161.0], [209.0, 211.0]]",0,0,ok,timestamp_pairs,3,0,33.3913212059997,26.119849684648216,7.270792993251234,0.0006556729786098003,21.253358840942383,22.390625,17088,42,False,False,
qwen3-vl-8b__quick,qwen3-vl-8b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[0.0, 0.5], [0.5, 1.0], [1.0, 1.5], [1.5, 2.0], [2.0, 2.5], [2.5, 3.0], [3.0, 3.5], [3.5, 4.0], [4.0, 4.5], [4.5, 5.0], [5.0, 5.5], [5.5, 6.0], [6.0, 6.5], [6.5, 7.0], [7.0, 7.5], [7.5, 8.0], [8.0, 8.5], [8.5, 9.0], [9.0, 9.5], [9.5, 10.0], [10.0, 10.5], [10.5, 11.0], [11.0, 11.5], [11.5, 12.0], [12.0, 12.5], [12.5, 13.0], [13.0, 13.5], [13.5, 14.0], [14.0, 14.5], [14.5, 15.0], [15.0, 15.5], [15.5, 16.0], [16.0, 16.5], [16.5, 17.0], [17.0, 17.5], [17.5, 18.0], [18.0, 18.5], [18.5, 19.0], [19.0, 19.5], [19.5, 20.0], [20.0, 20.5], [20.5, 21.0]]",0,0,ok,partial_json,42,0,55.56791039835662,25.701959545258433,29.86532267695293,0.0006039878353476524,21.254737377166748,22.390625,17094,512,True,True,
qwen3-vl-8b__quick,qwen3-vl-8b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,31.282314837910235,25.879920159932226,5.402143130078912,0.00023133493959903717,21.254278659820557,22.390625,17092,2,False,False,
qwen2.5-vl-7b__quick,qwen2.5-vl-7b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[0.0, 1.2], [3.4, 5.6], [7.8, 9.0], [12.2, 14.4], [16.6, 18.8], [21.0, 23.2], [25.4, 27.6], [29.8, 31.0], [33.2, 35.4], [37.6, 39.8], [42.0, 44.2], [46.4, 48.6], [50.8, 53.0], [55.2, 57.4], [59.6, 61.8], [64.0, 66.2], [68.4, 70.6], [72.8, 75.0], [77.2, 79.4], [81.6, 83.8], [86.0, 88.2], [90.4, 92.6], [94.8, 97.0], [99.2, 101.4]]",0,0,ok,partial_json_objects,24,0,49.17863497976214,26.739032468758523,22.43783078994602,0.0017454521730542183,18.851808547973633,21.94140625,16049,512,True,True,
qwen2.5-vl-7b__quick,qwen2.5-vl-7b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[132.0, 135.4]]",0,0,ok,json_objects,1,0,33.65042176330462,26.457553097978234,7.192389136180282,0.00046709878370165825,18.851449489593506,21.94140625,16046,30,False,False,
qwen2.5-vl-7b__quick,qwen2.5-vl-7b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[40.0, 42.5], [53.0, 56.0], [81.0, 84.0], [97.0, 100.0], [108.0, 111.0], [118.0, 121.0], [135.0, 138.0], [145.0, 148.0], [155.0, 158.0], [165.0, 168.0], [175.0, 178.0], [185.0, 188.0], [195.0, 198.0], [203.0, 206.0]]",0,0,ok,json_objects,14,0,38.79391963314265,23.018757484853268,15.774483896326274,0.0006535868160426617,18.851868629455566,22.509765625,16052,322,False,False,
qwen2.5-vl-7b__quick,qwen2.5-vl-7b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,32.88231087382883,26.64554980304092,6.236516124103218,0.0002320469357073307,18.851726531982422,22.509765625,16050,2,False,False,
